address,postcode,property_type,bedrooms,tenure,last_sold_date,last_sold_price
"118, Heathbank Road, Cheadle Hulme, Cheadle 29 Detached 4 Freehold Previo",SK8 6HX,Detached,4.0,Freehold,4 Sep 2025,835000
"4, Jackson Street, Cheadle 14 Terraced 2 Freehold Previo",SK8 2AU,Terraced,2.0,Freehold,4 Sep 2025,285000
"5, Lawson Avenue, Gatley, Cheadle 45 Semi-Detached 3 Freehold P",SK8 4PL,Detached,3.0,Freehold,3 Sep 2025,457000
"17, Argyll Road, Cheadle 10 Semi-Detached 3 Freehold P",SK8 2LQ,Detached,3.0,Freehold,3 Sep 2025,280000
"8, Spath Walk, Cheadle Hulme, Cheadle 28 Detached 3 Freehold Previo",SK8 7NJ,Detached,3.0,Freehold,2 Sep 2025,635000
"6, Calver Walk, Cheadle Hulme, Cheadle 15 Terraced 3 Freehold Previo",SK8 6BW,Terraced,3.0,Freehold,29 Aug 2025,312000
"1, Nansen Road, Gatley, Cheadle 19 Detached 4 Freehold Previo",SK8 4JL,Detached,4.0,Freehold,29 Aug 2025,645000
"26, Twining Brook Road, Cheadle Hulme, Cheadle 9 Semi-Detached 2 Freehold Pr",SK8 5PU,Detached,2.0,Freehold,29 Aug 2025,225000
"68, Wilmslow Road, Cheadle 25 Semi-Detached 3 Freehold P",SK8 1HL,Detached,3.0,Freehold,29 Aug 2025,545300
"22, Malvern Avenue, Gatley, Cheadle 19 Detached 2 Freehold Previo",SK8 4HT,Detached,2.0,Freehold,28 Aug 2025,435000
"40, Rosslyn Road, Heald Green, Cheadle 51 Semi-Detached 4 Freehold P",SK8 3DJ,Detached,4.0,Freehold,28 Aug 2025,485000
"125, Queensway, Heald Green, Cheadle 21 Semi-Detached 3 Freehold P",SK8 3HG,Detached,3.0,Freehold,27 Aug 2025,415000
"111, Radnormere Drive, Cheadle Hulme, Cheadle 14 Detached 3 Freehold Previo",SK8 5LB,Detached,3.0,Freehold,27 Aug 2025,475000
"208, Stockport Road, Cheadle 9 Terraced 2 Freehold Previou",SK8 2BT,Terraced,2.0,Freehold,26 Aug 2025,188500
"4, Tewkesbury Close, Cheadle Hulme, Cheadle 17 Semi-Detached 3 Freehold P",SK8 7QQ,Detached,3.0,Freehold,26 Aug 2025,385000
"7, 58 Greenacre, Outwood Road, Heald Green, Cheadle 8 Flat 2 Leasehold Previous t",SK8 3LZ,Flat,2.0,Leasehold,26 Aug 2025,175000
"15, Etchells Road, Heald Green, Cheadle 22 Semi-Detached 3 Leasehold",SK8 3AT,Detached,3.0,Leasehold,26 Aug 2025,375000
"23, Sudbury Drive, Heald Green, Cheadle 21 Semi-Detached 3 Leasehold",SK8 3BT,Detached,3.0,Leasehold,22 Aug 2025,370000
"23, Sudbury Drive, Heald Green, Cheadle 21 Semi-Detached 3 Leasehold",SK8 3BT,Detached,3.0,Leasehold,22 Aug 2025,384044
"23, Sudbury Drive, Heald Green, Cheadle 21 Semi-Detached 3 Leasehold",SK8 3BT,Detached,3.0,Leasehold,22 Aug 2025,370000
"34, Dutton Court, Station Approach, Cheadle Hulme, Cheadle 13 Flat 1 Leasehold Previous",SK8 5BF,Flat,1.0,Leasehold,22 Aug 2025,150000
"41, Daylesford Crescent, Cheadle 32 Semi-Detached 4 Freehold P",SK8 1LQ,Detached,4.0,Freehold,21 Aug 2025,840000
"38, Dryden Avenue, Cheadle 17 Semi-Detached 3 Freehold P",SK8 2AW,Detached,3.0,Freehold,21 Aug 2025,305000
"159, Turves Road, Cheadle Hulme, Cheadle 16 Semi-Detached 3 Leasehold",SK8 6AL,Detached,3.0,Leasehold,21 Aug 2025,320000
"161, Ladybridge Road, Cheadle Hulme, Cheadle 10 Terraced 3 Freehold Previo",SK8 5PL,Terraced,3.0,Freehold,19 Aug 2025,215000
"4, Mendip Close, Heald Green, Cheadle 12 Detached 3 Leasehold Previ",SK8 3LG,Detached,3.0,Leasehold,18 Aug 2025,405000
"5, Daresbury Court, Gillbent Road, Cheadle Hulme, Cheadle 12 Flat 1 Leasehold Previous",SK8 6NJ,Flat,1.0,Leasehold,18 Aug 2025,170000
